,userid,geometry_x,geometry_y
193,78F5978FDC68DD94F24BF18F6A492F31,POINT (-1.84439 52.59735),POINT (-1.83825 52.58987)
194,837AC9346CB8AC5C88F6FD618E09D9BE,POINT (-1.79305 52.52099),POINT (-1.79723 52.51622)
195,6DE8280EE5A4580B2CD6AA594E6A287F,POINT (-1.82083 52.48573),POINT (-1.85441 52.48497)
196,F16E6A5E2CA7CE11720156B9A5EBD47D,POINT (-1.84147 52.53265),POINT (-1.88382 52.52683)
197,C8EB35C6D8C666463B21F3AC6ECF6BEF,POINT (-1.91849 52.50533),POINT (-1.90627 52.50483)
198,49D5E33C33B0A77E617AFD7F10435790,POINT (-1.99031 52.44193),POINT (-1.97412 52.43603)
199,2FDDCA346FB71529893AABE211603E27,POINT (-1.90464 52.43393),POINT (-1.89278 52.43127)
200,12A341B414519673A8CFFAC96EFBBB27,POINT (-2.01431 52.43394),POINT (-2.01095 52.43685)
201,6AD7EBC4F0C74129271F18ECFC9CA3AC,POINT (-1.94785 52.41928),POINT (-2.0057 52.39934)
202,E30C2761B3B5F140A46548FB51F7E087,POINT (-1.90668 52.55228),POINT (-1.81209 52.52668)
203,7948C9B501BEAFD1C4EB61C8B3DFCA45,POINT (-1.80755 52.58864),POINT (-1.82898 52.58632)
204,4D8340F2E40F0D2349CE08D46CBD1BEE,POINT (-1.92345 52.53556),POINT (-1.88482 52.51795)
205,6F371AEAA46BD111D0E183946A3524C8,POINT (-1.88858 52.41237),POINT (-1.91261 52.42812)
206,71693D56C8D57EFC687F677D74ADC566,POINT (-1.90915 52.47823),POINT (-1.9414 52.47504)
207,4CB0A0B4B6BCB8F0D43AF81D76F21248,POINT (-1.90742 52.51126),POINT (-1.83484 52.44784)
208,B8DCC8F58ED655D897F5583E19B04E6B,POINT (-1.91694 52.47718),POINT (-1.89756 52.43595)
209,E8A55B7B4724CC7E74FD34D57790414D,POINT (-1.86208 52.55027),POINT (-1.87359 52.52359)
210,71AE4CDA53F04141A62E70C2220E1BB0,POINT (-1.78535 52.52551),POINT (-1.89315 52.55768)
211,E3D578DC08EBC86347694F54C9CFE697,POINT (-1.84266 52.60144),POINT (-1.8842 52.52677)
212,DC1EE63A9150B7C65FD893E4759D53DE,POINT (-1.88 52.56631),POINT (-1.83942 52.58623)
213,081F445CFE7850BC967FCC5203CA1B9E,POINT (-1.89109 52.53433),POINT (-1.90485 52.53501)
214,91B2BEFB5ED24EEC1FF1C8499218BA43,POINT (-1.85068 52.54731),POINT (-1.80941 52.55543)
215,4F54EF63C1F847FE67B0250DCFB988A5,POINT (-1.86443 52.54044),POINT (-1.82336 52.51237)
216,C5F389E47AD9DF74DB7307999EAE5D58,POINT (-1.89302 52.48759),POINT (-1.91206 52.47295)
217,9EF4958981BACB409E1F5644A616DD4E,POINT (-1.85403 52.59014),POINT (-1.82652 52.55747)
218,A3270A5845F77945991E3088C75C7870,POINT (-1.94147 52.50862),POINT (-1.84281 52.46832)
219,BF38014FDB2397240C22E2A5CBED812C,POINT (-1.93932 52.46725),POINT (-1.8319 52.52736)
220,C8E1FB4ADBC6983B12A3F442445EA56B,POINT (-1.78101 52.46746),POINT (-1.81362 52.4628)
221,FD373706559154EBAC295B2425EF725E,POINT (-1.89879 52.47247),POINT (-1.8213 52.51732)
222,336C6203C1F2856D02F971BF844D680D,POINT (-1.81055 52.48199),POINT (-1.85225 52.48925)
223,0A210D76016D1FBBA2BF46955D64A457,POINT (-1.92303 52.46395),POINT (-1.93754 52.45716)
224,0ED501764C6671CB8FC800F7A6A212A3,POINT (-2.0018 52.38951),POINT (-1.91496 52.43955)
225,94CEDC7CD6EB1F43F69F085044DCA85C,POINT (-1.87476 52.52603),POINT (-1.88645 52.49521)
226,D3157CE0CB6A193D510B02E43DB020F3,POINT (-1.79507 52.55679),POINT (-1.89591 52.48897)
227,61E405B862CBFA8A07CB23B954363410,POINT (-1.78676 52.53411),POINT (-1.82094 52.56901)
228,AE056E6B5C154456ADDEECCCD44DD042,POINT (-1.8575 52.46538),POINT (-1.8297 52.47805)
229,8852BA9FC50EC426EEB48C289E7BCF9C,POINT (-1.86072 52.44448),POINT (-1.86301 52.45246)
230,266262D91EBEB05DAF9F76B70DD1E44C,POINT (-1.80933 52.50301),POINT (-2.00221 52.45923)
231,6BC685EA161460AF28941505B848DCC1,POINT (-1.96863 52.41219),POINT (-1.93283 52.43946)
232,151B1A403FF647F940BAF52E9C829DE9,POINT (-1.94873 52.47124),POINT (-1.92176 52.47371)
233,CF5C5F6EBF09451BBC7C94E93D6BFEC7,POINT (-1.79901 52.48142),POINT (-1.80275 52.49934)
234,E3200204EE87A4D13CDAA80D184E9B66,POINT (-1.88845 52.42507),POINT (-1.89395 52.43275)
